ts,cell_e_series_backplate_C,cell_e_series_chamber_ambient_C,cell_e_series_frontplate_C,cell_e_series_in_front_of_primary_C,cell_e_series_lower_plenum_C,cell_e_series_midplate_C,cell_e_series_outside_ambient_C
2019-01-03 15:05:00,5.3968,9.232,5.488,7.7029,6.1548,5.3825,16.6229
2019-01-03 15:10:00,5.5079,8.66855,5.6145499999999995,7.7669,5.8487,5.6038,15.6797
2019-01-03 15:15:00,5.5305,8.3781,5.6181,7.7991,5.5683,5.6243,15.6681
2019-01-03 15:20:00,5.53265,8.31755,5.58525,7.7986,5.3713999999999995,5.57485,15.6521
2019-01-03 15:25:00,5.5167,8.2447,5.541449999999999,7.7326999999999995,5.200200000000001,5.511749999999999,16.08185
2019-01-03 15:30:00,5.4613,8.39065,5.4645,7.66195,4.9744,5.38385,16.762749999999997
2019-01-03 15:35:00,5.393050000000001,8.5395,5.386699999999999,7.58355,4.81825,5.2622,15.983050000000002
2019-01-03 15:40:00,,,,,,,
2019-01-03 15:45:00,5.253299999999999,8.659749999999999,5.2541,7.4712,4.74085,5.06415,17.861
2019-01-03 15:50:00,5.19995,8.6931,5.2143,7.4658999999999995,4.6949000000000005,5.0046,17.1495
2019-01-03 15:55:00,5.1519,8.7393,5.1785,7.525,4.6692,4.9583,17.0479
2019-01-03 16:00:00,5.0923,8.7289,5.1234,7.5146,4.6107,4.8954,16.6814
2019-01-03 16:05:00,5.0225,8.7337,5.0686,7.5038,4.5341,4.8317,15.107
2019-01-03 16:10:00,4.9705,8.7646,5.025,7.5037,4.4724,4.7785,16.1515
2019-01-03 16:15:00,4.9158,8.80275,4.9754000000000005,7.4983,4.41235,4.7273499999999995,17.11285
2019-01-03 16:20:00,4.8461,8.8154,4.9241,7.4771,4.3358,4.6537,17.1227
2019-01-03 16:25:00,4.8043,8.7377,4.8718,7.4717,4.2853,4.6073,16.0437
2019-01-03 16:30:00,4.7298,8.6961,4.8084,7.461,4.22,4.538,16.7611
2019-01-03 16:35:00,4.67625,8.734649999999998,4.76365,7.45045,4.1601,4.48915,16.43
2019-01-03 16:40:00,4.6133500000000005,8.6904,4.70615,7.4552,4.09595,4.4282,16.3661
2019-01-03 16:45:00,4.54755,8.66665,4.64225,7.4188,4.029299999999999,4.3576,17.0297
2019-01-03 16:50:00,4.4897,8.6639,4.5888,7.4082,3.9717,4.303,17.3802
2019-01-03 16:55:00,4.4367,8.6791,4.5362,7.4079,3.9173,4.249,14.7518
2019-01-03 17:00:00,4.3802,8.6788,4.4831,7.3921,3.86615,4.19675,15.6775
2019-01-03 17:05:00,4.3309,8.663,4.4417,7.366,3.8258,4.1523,14.3121
2019-01-03 17:10:00,4.2681000000000004,8.6785,4.3777,7.3554,3.7622999999999998,4.08815,14.845500000000001
2019-01-03 17:15:00,4.2178,8.6729,4.3306,7.3447,3.7148,4.0372,14.9652
2019-01-03 17:20:00,4.157,8.68305,4.2718,7.3290500000000005,3.66205,3.98645,14.78875
2019-01-03 17:25:00,4.1102,8.6622,4.226,7.3184,3.6184,3.9354,14.5103
2019-01-03 17:30:00,4.05305,8.65675,4.17525,7.279249999999999,3.5725499999999997,3.8872,13.8866
2019-01-03 17:35:00,4.0191,8.7185,4.1437,7.2715,3.5726,3.8618,12.658
2019-01-03 17:40:00,3.99855,6.20435,4.1442,6.966150000000001,3.7875,3.8661,9.8631
2019-01-03 17:45:00,3.9992,5.2604,4.1615,6.7179,3.9703,3.9114,8.3733
2019-01-03 17:50:00,4.0251,5.0065,4.1857,6.6565,4.1182,3.9915,6.6514
2019-01-03 17:55:00,4.0429,4.863899999999999,4.20755,6.4988,4.1875,4.0497,6.0348
2019-01-03 18:00:00,4.0898,4.8409,4.2394,6.362,4.2545,4.133,5.2619
2019-01-03 18:05:00,4.12845,4.9843,4.2631499999999996,6.26125,4.29075,4.1930499999999995,4.724399999999999
2019-01-03 18:10:00,4.1721,5.0081,4.296,6.1503,4.3419,4.2472,4.6179
2019-01-03 18:15:00,4.21125,5.1382,4.323499999999999,6.0674,4.3838,4.29635,4.2749500000000005
2019-01-03 18:20:00,4.2546,5.445,4.3532,6.0158,4.4364,4.3454,4.1918
2019-01-03 18:25:00,4.295249999999999,5.6578,4.382949999999999,5.96425,4.50335,4.3832,4.04635
2019-01-03 18:30:00,4.343,5.7777,4.4217,5.9074,4.5712,4.437,3.9999
2019-01-03 18:35:00,4.4028,5.819599999999999,4.48945,5.8612,4.66145,4.5085,3.9794
2019-01-03 18:40:00,4.453,5.8147,4.5359,5.7993,4.7234,4.5639,4.0473
2019-01-03 18:45:00,4.4955,5.7891,4.5872,5.7683,4.7771,4.6152,4.0684
2019-01-03 18:50:00,4.5504999999999995,5.7478,4.64345,5.71155,4.81055,4.67485,4.0479
2019-01-03 18:55:00,4.6125,5.7272,4.6973,5.6702,4.8439,4.7315,4.2045
2019-01-03 19:00:00,4.6474,5.6235,4.7232,5.5405999999999995,4.8673,4.7615,4.4544
2019-01-03 19:05:00,4.6801,5.5512,4.747,5.4835,4.8944,4.7883,4.6573
